Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200507,ata airlines,tz,ata airlines,tz,domestic,us,deplaned,low fare,terminal 1,b,27271,deplaned,27271,2005,july
200507,ata airlines,tz,ata airlines,tz,domestic,us,enplaned,low fare,terminal 1,b,29131,enplaned,29131,2005,july
200507,ata airlines,tz,ata airlines,tz,domestic,us,thru / transit,low fare,terminal 1,b,5415,thru / transit * 2,10830,2005,july
200507,air canada,ac,air canada,ac,international,canada,deplaned,other,terminal 1,b,35156,deplaned,35156,2005,july
200507,air canada,ac,air canada,ac,international,canada,enplaned,other,terminal 1,b,34090,enplaned,34090,2005,july
200507,air china,ca,air china,ca,international,asia,deplaned,other,international,g,6263,deplaned,6263,2005,july
200507,air china,ca,air china,ca,international,asia,enplaned,other,international,g,5500,enplaned,5500,2005,july
200507,air france,af,air france,af,international,europe,deplaned,other,international,a,12050,deplaned,12050,2005,july
200507,air france,af,air france,af,international,europe,enplaned,other,international,a,11638,enplaned,11638,2005,july
200507,air new zealand,nz,air new zealand,nz,international,australia / oceania,deplaned,other,international,g,4998,deplaned,4998,2005,july
200507,air new zealand,nz,air new zealand,nz,international,australia / oceania,enplaned,other,international,g,4962,enplaned,4962,2005,july
200507,airtran airways,fl,airtran airways,fl,domestic,us,deplaned,low fare,international,a,8055,deplaned,8055,2005,july
200507,airtran airways,fl,airtran airways,fl,domestic,us,enplaned,low fare,international,a,7984,enplaned,7984,2005,july
200507,alaska airlines,as,alaska airlines,as,domestic,us,deplaned,other,international,a,36641,deplaned,36641,2005,july
200507,alaska airlines,as,alaska airlines,as,domestic,us,enplaned,other,international,a,39379,enplaned,39379,2005,july
200507,alaska airlines,as,alaska airlines,as,domestic,us,thru / transit,other,international,a,3678,thru / transit * 2,7356,2005,july
200507,alaska airlines,as,alaska airlines,as,international,canada,deplaned,other,international,a,7977,deplaned,7977,2005,july
200507,alaska airlines,as,alaska airlines,as,international,canada,enplaned,other,international,a,8837,enplaned,8837,2005,july
200507,alaska airlines,as,alaska airlines,as,international,mexico,deplaned,other,international,a,6969,deplaned,6969,2005,july
200507,alaska airlines,as,alaska airlines,as,international,mexico,enplaned,other,international,a,10046,enplaned,10046,2005,july
200507,alaska airlines,as,alaska airlines,as,international,mexico,thru / transit,other,international,a,2266,thru / transit * 2,4532,2005,july
200507,all nippon airways,nh,all nippon airways,nh,international,asia,deplaned,other,international,g,6545,deplaned,6545,2005,july
200507,all nippon airways,nh,all nippon airways,nh,international,asia,enplaned,other,international,g,6094,enplaned,6094,2005,july
200507,american airlines,aa,american airlines,aa,domestic,us,deplaned,other,terminal 3,e,166577,deplaned,166577,2005,july
200507,american airlines,aa,american airlines,aa,domestic,us,enplaned,other,terminal 3,e,160890,enplaned,160890,2005,july
200507,american eagle airlines,mq,american airlines,aa,domestic,us,deplaned,other,terminal 3,e,5493,deplaned,5493,2005,july
200507,american eagle airlines,mq,american airlines,aa,domestic,us,enplaned,other,terminal 3,e,5213,enplaned,5213,2005,july
200507,asiana airlines,oz,asiana airlines,oz,international,asia,deplaned,other,international,a,5041,deplaned,5041,2005,july
200507,asiana airlines,oz,asiana airlines,oz,international,asia,enplaned,other,international,a,4744,enplaned,4744,2005,july
200507,atlantic southeast airlines,ev,delta air lines,dl,domestic,us,deplaned,other,terminal 1,c,1552,deplaned,1552,2005,july
200507,atlantic southeast airlines,ev,delta air lines,dl,domestic,us,enplaned,other,terminal 1,c,1484,enplaned,1484,2005,july
200507,belair airlines,4t,belair airlines,4t,international,europe,deplaned,other,international,a,325,deplaned,325,2005,july
200507,belair airlines,4t,belair airlines,4t,international,europe,enplaned,other,international,a,545,enplaned,545,2005,july
200507,british airways,ba,british airways,ba,international,europe,deplaned,other,international,a,20632,deplaned,20632,2005,july
200507,british airways,ba,british airways,ba,international,europe,enplaned,other,international,a,21686,enplaned,21686,2005,july
200507,cathay pacific,cx,cathay pacific,cx,international,asia,deplaned,other,international,a,11010,deplaned,11010,2005,july
200507,cathay pacific,cx,cathay pacific,cx,international,asia,enplaned,other,international,a,9628,enplaned,9628,2005,july
200507,china airlines,ci,china airlines,ci,international,asia,deplaned,other,international,a,13638,deplaned,13638,2005,july
200507,china airlines,ci,china airlines,ci,international,asia,enplaned,other,international,a,11255,enplaned,11255,2005,july
200507,delta air lines,dl,delta air lines,dl,domestic,us,deplaned,other,terminal 1,c,97510,deplaned,97510,2005,july
200507,delta air lines,dl,delta air lines,dl,domestic,us,enplaned,other,terminal 1,c,93791,enplaned,93791,2005,july
200507,eva airways,br,eva airways,br,international,asia,deplaned,other,international,g,14142,deplaned,14142,2005,july
200507,eva airways,br,eva airways,br,international,asia,enplaned,other,international,g,12132,enplaned,12132,2005,july
200507,frontier airlines,f9,frontier airlines,f9,domestic,us,deplaned,low fare,terminal 1,b,19234,deplaned,19234,2005,july
200507,frontier airlines,f9,frontier airlines,f9,domestic,us,enplaned,low fare,terminal 1,b,18368,enplaned,18368,2005,july
200507,hawaiian airlines,ha,hawaiian airlines,ha,domestic,us,deplaned,other,terminal 1,c,7579,deplaned,7579,2005,july
200507,hawaiian airlines,ha,hawaiian airlines,ha,domestic,us,enplaned,other,terminal 1,c,7658,enplaned,7658,2005,july
200507,horizon air,qx,alaska airlines,as,domestic,us,deplaned,other,terminal 1,b,5284,deplaned,5284,2005,july
200507,horizon air,qx,alaska airlines,as,domestic,us,enplaned,other,terminal 1,b,5257,enplaned,5257,2005,july
200507,icelandair,fi,icelandair,fi,international,europe,deplaned,other,international,a,4540,deplaned,4540,2005,july
200507,icelandair,fi,icelandair,fi,international,europe,enplaned,other,international,a,4341,enplaned,4341,2005,july
200507,independence air,dh,independence air,dh,domestic,us,deplaned,low fare,international,a,10843,deplaned,10843,2005,july
200507,independence air,dh,independence air,dh,domestic,us,enplaned,low fare,international,a,10967,enplaned,10967,2005,july
200507,japan airlines,jl,japan airlines,jl,international,asia,deplaned,other,international,a,9195,deplaned,9195,2005,july
200507,japan airlines,jl,japan airlines,jl,international,asia,enplaned,other,international,a,9086,enplaned,9086,2005,july
200507,klm royal dutch airlines,kl,klm royal dutch airlines,kl,international,europe,deplaned,other,international,a,9978,deplaned,9978,2005,july
200507,klm royal dutch airlines,kl,klm royal dutch airlines,kl,international,europe,enplaned,other,international,a,9587,enplaned,9587,2005,july
200507,korean air lines,ke,korean air lines,ke,international,asia,deplaned,other,international,a,6153,deplaned,6153,2005,july
200507,korean air lines,ke,korean air lines,ke,international,asia,enplaned,other,international,a,5646,enplaned,5646,2005,july
200507,lufthansa german airlines,lh,lufthansa german airlines,lh,international,europe,deplaned,other,international,g,22389,deplaned,22389,2005,july
200507,lufthansa german airlines,lh,lufthansa german airlines,lh,international,europe,enplaned,other,international,g,20511,enplaned,20511,2005,july
200507,mesa airlines,yv,us airways,us,domestic,us,deplaned,other,terminal 1,b,2636,deplaned,2636,2005,july
200507,mesa airlines,yv,us airways,us,domestic,us,enplaned,other,terminal 1,b,2535,enplaned,2535,2005,july
200507,mexicana airlines,mx,mexicana airlines,mx,international,mexico,deplaned,other,international,g,7751,deplaned,7751,2005,july
200507,mexicana airlines,mx,mexicana airlines,mx,international,mexico,enplaned,other,international,g,7845,enplaned,7845,2005,july
200507,midwest airlines,yx,midwest airlines,yx,domestic,us,deplaned,other,terminal 1,a,1797,deplaned,1797,2005,july
200507,midwest airlines,yx,midwest airlines,yx,domestic,us,enplaned,other,terminal 1,a,3238,enplaned,3238,2005,july
200507,northwest airlines,nw,northwest airlines,nw,domestic,us,deplaned,other,terminal 1,c,64231,deplaned,64231,2005,july
200507,northwest airlines,nw,northwest airlines,nw,domestic,us,enplaned,other,terminal 1,c,62049,enplaned,62049,2005,july
200507,northwest airlines,nw,northwest airlines,nw,international,asia,deplaned,other,international,a,7229,deplaned,7229,2005,july
200507,northwest airlines,nw,northwest airlines,nw,international,asia,enplaned,other,international,a,6554,enplaned,6554,2005,july
200507,philippine airlines,pr,philippine airlines,pr,international,asia,deplaned,other,international,a,12828,deplaned,12828,2005,july
200507,philippine airlines,pr,philippine airlines,pr,international,asia,enplaned,other,international,a,10269,enplaned,10269,2005,july
200507,singapore airlines,sq,singapore airlines,sq,international,asia,deplaned,other,international,g,19211,deplaned,19211,2005,july
200507,singapore airlines,sq,singapore airlines,sq,international,asia,enplaned,other,international,g,17462,enplaned,17462,2005,july
200507,skywest airlines,oo,delta air lines,dl,domestic,us,deplaned,other,terminal 1,c,7262,deplaned,7262,2005,july
200507,skywest airlines,oo,delta air lines,dl,domestic,us,enplaned,other,terminal 1,c,6586,enplaned,6586,2005,july
200507,skywest airlines,oo,united airlines - pre 07/01/2013,ua,domestic,us,deplaned,other,terminal 3,f,103279,deplaned,103279,2005,july
200507,skywest airlines,oo,united airlines - pre 07/01/2013,ua,domestic,us,enplaned,other,terminal 3,f,102023,enplaned,102023,2005,july
200507,skywest airlines,oo,united airlines - pre 07/01/2013,ua,international,canada,deplaned,other,terminal 3,f,3688,deplaned,3688,2005,july
200507,skywest airlines,oo,united airlines - pre 07/01/2013,ua,international,canada,enplaned,other,terminal 3,f,3633,enplaned,3633,2005,july
200507,sun country airlines,sy,sun country airlines,sy,domestic,us,deplaned,low fare,terminal 1,b,4827,deplaned,4827,2005,july
200507,sun country airlines,sy,sun country airlines,sy,domestic,us,enplaned,low fare,terminal 1,b,4784,enplaned,4784,2005,july
200507,taca,ta,taca,ta,international,central america,deplaned,other,international,g,6324,deplaned,6324,2005,july
200507,taca,ta,taca,ta,international,central america,enplaned,other,international,g,7031,enplaned,7031,2005,july
200507,us airways,us,us airways,us,domestic,us,deplaned,other,terminal 1,a,46042,deplaned,46042,2005,july
200507,us airways,us,us airways,us,domestic,us,enplaned,other,terminal 1,a,45553,enplaned,45553,2005,july
200507,us airways,us,us airways,us,domestic,us,deplaned,low fare,terminal 1,b,38951,deplaned,38951,2005,july
200507,us airways,us,us airways,us,domestic,us,enplaned,low fare,terminal 1,b,37848,enplaned,37848,2005,july
200507,united airlines,ua,united airlines,ua,domestic,us,deplaned,other,terminal 1,b,62178,deplaned,62178,2005,july
200507,united airlines,ua,united airlines,ua,domestic,us,enplaned,other,terminal 1,b,60939,enplaned,60939,2005,july
200507,united airlines - pre 07/01/2013,ua,united airlines - pre 07/01/2013,ua,domestic,us,deplaned,low fare,terminal 3,e,58767,deplaned,58767,2005,july
200507,united airlines - pre 07/01/2013,ua,united airlines - pre 07/01/2013,ua,domestic,us,enplaned,low fare,terminal 3,e,58277,enplaned,58277,2005,july
200507,united airlines - pre 07/01/2013,ua,united airlines - pre 07/01/2013,ua,domestic,us,deplaned,other,terminal 3,f,443656,deplaned,443656,2005,july
200507,united airlines - pre 07/01/2013,ua,united airlines - pre 07/01/2013,ua,domestic,us,enplaned,other,terminal 3,f,421802,enplaned,421802,2005,july
200507,united airlines - pre 07/01/2013,ua,united airlines - pre 07/01/2013,ua,domestic,us,thru / transit,other,terminal 3,f,11388,thru / transit * 2,22776,2005,july
200507,united airlines - pre 07/01/2013,ua,united airlines - pre 07/01/2013,ua,international,asia,deplaned,other,international,g,77658,deplaned,77658,2005,july
